kind,key,splits,id,a,b
old_normtext_cross_split,eb0d5884569b398e,dev|test|train,,,
old_normtext_cross_split,02a469210dec7ab5,dev|test|train,,,
old_normtext_cross_split,fd83a1c7dd67a3e6,dev|test|train,,,
old_normtext_cross_split,05822a2fe69eb566,dev|test|train,,,
old_normtext_cross_split,c4df74e0930b4fb4,dev|test|train,,,
old_normtext_cross_split,a1902686cd20ee71,dev|test|train,,,
old_normtext_cross_split,631157c15452e8ce,dev|train,,,
old_normtext_cross_split,c9201f4d1cf5015f,test|train,,,
old_normtext_cross_split,9517e3a1c665b370,test|train,,,
old_normtext_cross_split,727ba6653f0f2842,dev|test|train,,,
old_normtext_cross_split,deec10c506fc5296,dev|test|train,,,
old_normtext_cross_split,a9516d3cc89f972c,dev|test|train,,,
old_normtext_cross_split,c0fb062f86b66f63,dev|train,,,
old_normtext_cross_split,9880c8d2c701328a,dev|test|train,,,
old_normtext_cross_split,e3de0897484f08c9,dev|test|train,,,
old_normtext_cross_split,1d220b45932eb4c1,dev|test|train,,,
old_normtext_cross_split,970209f37dd54e90,dev|train,,,
old_normtext_cross_split,86b5a7f2d1197f78,dev|train,,,
old_normtext_cross_split,6495654506ed6a8b,dev|test|train,,,
old_normtext_cross_split,1b2024cf7e408c66,dev|test|train,,,
old_normtext_cross_split,543f997e0b9634b7,dev|test|train,,,
old_normtext_cross_split,1d2d50ee45932ed8,dev|train,,,
old_normtext_cross_split,cfae0d4248f7142f,dev|test|train,,,
old_normtext_cross_split,e7c2bcc6809dd3f0,dev|test|train,,,
old_normtext_cross_split,46ffcbf9ebab6254,dev|test|train,,,
old_normtext_cross_split,755c83b834b958d9,dev|train,,,
old_normtext_cross_split,b0d3c9cfa0e1ef67,dev|test|train,,,
old_normtext_cross_split,3a7f94458a400114,dev|test|train,,,
old_normtext_cross_split,41b805ea7ac014e2,test|train,,,
old_normtext_cross_split,14f5cf87a90916fd,dev|train,,,
old_normtext_cross_split,a8b272a59938005e,dev|test|train,,,
old_normtext_cross_split,d70b933b8d6095ff,test|train,,,
old_normtext_cross_split,77d57e39b407cbca,test|train,,,
old_normtext_cross_split,570a718a517109e2,dev|train,,,
old_normtext_cross_split,f5548ee80bcaf5b7,test|train,,,
old_normtext_cross_split,7c88eb638237208b,dev|train,,,
old_normtext_cross_split,7da359d443492ea3,test|train,,,
old_normtext_cross_split,59637cf6660757e6,dev|train,,,
old_normtext_cross_split,497814d80a91bda0,dev|train,,,
old_normtext_cross_split,ef376dc6dc99ab91,dev|train,,,
old_normtext_cross_split,ac1f7b3e316eb424,dev|train,,,
old_normtext_cross_split,e436763ebfa3c316,dev|train,,,
old_normtext_cross_split,8aad390a9d338f2a,test|train,,,
old_normtext_cross_split,6f5b2d3ebe5bd8f9,dev|train,,,
old_normtext_cross_split,57aa1d5469a2b3a3,dev|train,,,
old_normtext_cross_split,1adf8b64987d6040,dev|train,,,
old_normtext_cross_split,5681f7e53d154c56,dev|train,,,
old_normtext_cross_split,b3b5266e7d73539c,dev|test|train,,,
old_normtext_cross_split,eb51b5ccc69e1783,dev|test|train,,,
old_normtext_cross_split,4975582300271920,dev|train,,,
old_normtext_cross_split,067244a4d88485c0,test|train,,,
old_normtext_cross_split,a03e59520e957b51,test|train,,,
old_normtext_cross_split,987e939a7aff0804,test|train,,,
old_normtext_cross_split,3885ff5ae3386f58,dev|train,,,
old_normtext_cross_split,2ce9d4e64c805c09,dev|train,,,
old_normtext_cross_split,e2d3c26d4fd08862,dev|train,,,
old_normtext_cross_split,091fdb842e9f9739,dev|train,,,
old_normtext_cross_split,3b1755d819a4a507,dev|train,,,
old_normtext_cross_split,ed08589e91322a13,dev|train,,,
