family,condition,seed,gold150_exact_f1,gold150_relaxed_f1,challenge100_exact_f1,audit50_exact_f1,empty_label_fp,parse_fail,complete_150,mean_input_tokens,mean_output_tokens,mean_seconds
qwen14b,SFT,42,0.13129496402877697,0.47302158273381295,0.1339031339031339,0.12682926829268293,2,5,True,167.09333333333333,69.83333333333333,2.1841833225886025
qwen14b,SFT,43,0.12025901942645698,0.42923219241443106,0.12,0.12073490813648297,1,4,True,167.09333333333333,66.65333333333334,2.08783895333608
qwen14b,SFT,44,0.11293260473588343,0.43533697632058294,0.11331444759206799,0.11224489795918367,1,4,True,167.09333333333333,69.45333333333333,2.173258916536967
jobbert3m_reinit_crf,H_468,42,0.46449456975772774,0.5998329156223893,0.46215139442231074,0.46846846846846857,,,True,,,
jobbert3m_reinit_crf,H_468,43,0.4438943894389439,0.5973597359735974,0.43870967741935485,0.45308924485125857,,,True,,,
jobbert3m_reinit_crf,H_468,44,0.45394736842105265,0.6151315789473684,0.43669250645994834,0.48416289592760187,,,True,,,
jobbert3m_reinit_crf,E_468,42,0.4319327731092437,0.5596638655462185,0.44973544973544977,0.4009216589861751,,,True,,,
jobbert3m_reinit_crf,E_468,43,0.4591246903385632,0.6044591246903386,0.46997389033942555,0.4404494382022472,,,True,,,
jobbert3m_reinit_crf,E_468,44,0.41230257689110555,0.5685785536159601,0.4046997389033942,0.42562929061784893,,,True,,,
jobbert3m_reinit_crf,M_468,42,0.4564315352697096,0.5892116182572614,0.4775725593667547,0.42058165548098436,,,True,,,
jobbert3m_reinit_crf,M_468,43,0.4796084828711256,0.6411092985318109,0.4871134020618557,0.46666666666666673,,,True,,,
jobbert3m_reinit_crf,M_468,44,0.43243243243243246,0.5962837837837838,0.43315508021390375,0.43119266055045874,,,True,,,
