track,dataset,subset,task,model,seed,status,metric,scale,value,eval_split,eval_n,knn_setting,weighted_f1,predictions_sha256
native,green,test,nnose,jobbert,113412,completed,seqeval_span_f1,0-1,0.5003445899379738,test,335,knn,,d29b312f9b5e9a347cf7a788ce21f6b755f28c4304ddb72a86f5ae9e0610a723
native,green,test,nnose,jobbert,113412,completed,seqeval_span_f1,0-1,0.4910591471801926,test,335,linear,,a1a080d00ea793b27bf83b4bfb3a4863f410bc4e511f7cc5c07287fa0f3cc50a
native,green,test,nnose,jobberta,113412,completed,seqeval_span_f1,0-1,0.4847625797306875,test,335,knn,,de183cfa4b8666071ea737918d6bcf2f7574328310ef05236f22aa5793ddc7dd
native,green,test,nnose,jobberta,113412,completed,seqeval_span_f1,0-1,0.46586910626319494,test,335,linear,,2f1ea5e18980f643e9a506ee9eb18763e285f0b8fe2bdce275f873842882a5b7
native,kompetencer,da_test,da_classification,dajobbert,3477689,completed,macro_f1,0-1,0.18597929445469044,da_test,784,,0.3835620434779473,d0adc10dbb7b5a00e35b55315163eca09f6b47e6c7160751270ed8234ba3552c
native,kompetencer,da_test,da_classification,dajobbert,4213916,completed,macro_f1,0-1,0.18015787909960598,da_test,784,,0.39256821992947133,324b4ef2c0d7cd8ad9535446fae6e3b764bfed9bacf74dbafa5a23a36ee248fd
native,kompetencer,da_test,da_classification,dajobbert,6828303,completed,macro_f1,0-1,0.17181932169537634,da_test,784,,0.3668139092506226,942cbfdfcd0342739141d81b8dae32cb3fa57f296546dbe1d0dca63f57a59042
native,kompetencer,da_test,da_classification,dajobbert,8749520,completed,macro_f1,0-1,0.14010197231791652,da_test,784,,0.359051499153013,134d5d63c9d5af1230a6f51a126e59d84187cf1465b3a6d1ed8337846df9a989
native,kompetencer,da_test,da_classification,dajobbert,9364029,completed,macro_f1,0-1,0.23415043753628328,da_test,784,,0.42452134787369306,8829c991a14985f46c93147e0ae5997f1f4d63d06453eca690c32e1ceb2abd06
native,kompetencer,en_test,da_classification,dajobbert,3477689,completed,macro_f1,0-1,0.06550049561938105,en_test,1578,,0.08929375811458685,612f3454cb08f1039a88cdca323bcb04eb21b9e30dc37cb568b7228644213c51
native,kompetencer,en_test,da_classification,dajobbert,4213916,completed,macro_f1,0-1,0.05535236831121808,en_test,1578,,0.11531403084307404,9802eece4c64950594f883c4fd00536feebf1dc0d390702f4f1b9cf09d000d09
native,kompetencer,en_test,da_classification,dajobbert,6828303,completed,macro_f1,0-1,0.07226107913217204,en_test,1578,,0.10035555811190004,4c6876080987f10f16cabf2a889d3d593194b77fc62e8330af5e80a8058f8a51
native,kompetencer,en_test,da_classification,dajobbert,8749520,completed,macro_f1,0-1,0.05023883605473747,en_test,1578,,0.06462712493761864,8744ac6bc4472f58ec339b4cd31ddca7d7ec7d5ca98a8e5773d1697c9754bb85
native,kompetencer,en_test,da_classification,dajobbert,9364029,completed,macro_f1,0-1,0.0781674996142033,en_test,1578,,0.09756013595250462,643815f8c603c2af1f56c7f0f2d69ed02e51f9404a4d09c2a96cebcaa7ce915c
native,kompetencer,da_test,da_classification,rembert,3477689,completed,macro_f1,0-1,0.033156056752221885,da_test,784,,0.15095292666078367,8ceb4f1f553ed4350975c55d4063611f76b189d61c335897d6656555802ad987
native,kompetencer,da_test,da_classification,rembert,4213916,completed,macro_f1,0-1,0.17763551646515707,da_test,784,,0.36027086786545254,79f3ee5f9438472f7fa760d79ad497562cfafe237d462e8aadd61fbea879c097
native,kompetencer,da_test,da_classification,rembert,6828303,completed,macro_f1,0-1,0.013354436640617274,da_test,784,,0.050590149008460844,dd4c4270bf7b01229c1ea18d913b64339d22af230f469a991f01741948b36b27
native,kompetencer,da_test,da_classification,rembert,8749520,completed,macro_f1,0-1,0.003595125678440626,da_test,784,,0.001740651391158461,45e545e44fafd5f07451501021d8247aca3f476958429e4ab7f0453888108a15
native,kompetencer,da_test,da_classification,rembert,9364029,completed,macro_f1,0-1,0.02361842477174357,da_test,784,,0.09902072979433996,3b5b271656457d69309f72a371871467d2107c27cb2d189dee93a0a0168a2c86
